full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,105003,105003,16643,1937,1937,436,https://github.com/anthropics/claude-code
claude-code-best/claude-code,9504,9504,11266,738,738,751,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,132655,132655,19187,783,783,204,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1561,1561,4889,94,94,211,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,46994,46994,7478,258,258,73,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,7845,7845,13374,192,192,223,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,35720,35720,2748,89,89,17,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,31239,31239,2451,66,66,10,https://github.com/musistudio/claude-code-router
RishabhK103/claude-code,33,33,7459,2,2,-39,https://github.com/RishabhK103/claude-code
davila7/claude-code-templates,24032,24032,2347,9,9,0,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,839,839,1771,28,28,58,https://github.com/pengchengneo/Claude-Code
codeaashu/claude-code,862,862,1508,107,107,190,https://github.com/codeaashu/claude-code
NanmiCoder/claude-code-haha,3716,3716,4374,306,306,265,https://github.com/NanmiCoder/claude-code-haha
tanbiralam/claude-code,806,806,1437,95,95,170,https://github.com/tanbiralam/claude-code
shanraisshan/claude-code-best-practice,30754,30754,2710,167,167,27,https://github.com/shanraisshan/claude-code-best-practice
yasasbanukaofficial/claude-code,615,615,1252,189,189,340,https://github.com/yasasbanukaofficial/claude-code
Onewon/claude-code,143,143,1915,6,6,64,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2347,2347,3148,130,130,104,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,16003,16003,1807,30,30,4,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6834,6834,1653,11,11,2,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,1549,1549,2790,119,119,158,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,8046,8046,1446,43,43,14,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9399,9399,1201,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7913,7913,1177,52,52,7,https://github.com/Donchitos/Claude-Code-Game-Studios
frankbria/ralph-claude-code,8350,8350,610,4,4,0,https://github.com/frankbria/ralph-claude-code
LING71671/Open-ClaudeCode,277,277,405,53,53,95,https://github.com/LING71671/Open-ClaudeCode
hangsman/claude-code-source,662,662,1591,20,20,31,https://github.com/hangsman/claude-code-source
beita6969/claude-code,247,247,540,6,6,9,https://github.com/beita6969/claude-code
ykdojo/claude-code-tips,7068,7068,490,15,15,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5683,5683,506,5,5,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,826,826,1581,1,1,4,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3764,3764,552,1,1,0,https://github.com/OneRedOak/claude-code-workflows
qwibitai/nanoclaw,26260,26260,10211,38,38,39,https://github.com/qwibitai/nanoclaw
sickn33/antigravity-awesome-skills,29963,29963,4996,71,71,7,https://github.com/sickn33/antigravity-awesome-skills
huangserva/claude-code-cli,439,439,1054,36,36,46,https://github.com/huangserva/claude-code-cli
1rgs/claude-code-proxy,3357,3357,445,4,4,0,https://github.com/1rgs/claude-code-proxy
anthropics/skills,108953,108953,12183,286,286,49,https://github.com/anthropics/skills
777genius/claude-code-source-code,827,827,1105,6,6,4,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3460,3460,589,2,2,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3790,3790,355,4,4,1,https://github.com/zebbern/claude-code-guide
chauncygu/collection-claude-code-source-code,932,932,1324,99,99,113,https://github.com/chauncygu/collection-claude-code-source-code
kodu-ai/claude-coder,5282,5282,198,0,0,0,https://github.com/kodu-ai/claude-coder
leaked-claude-code/leaked-claude-code,543,543,770,42,42,32,https://github.com/leaked-claude-code/leaked-claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7292,7292,357,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2327,2327,392,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
VineeTagarwaL-code/claude-code,241,241,244,2,2,5,https://github.com/VineeTagarwaL-code/claude-code
liuup/claude-code-analysis,612,612,624,70,70,60,https://github.com/liuup/claude-code-analysis
fuergaosi233/claude-code-proxy,2318,2318,325,3,3,1,https://github.com/fuergaosi233/claude-code-proxy
zstmfhy/Claude-code,171,171,265,6,6,10,https://github.com/zstmfhy/Claude-code
alex000kim/claude-code,165,165,261,7,7,15,https://github.com/alex000kim/claude-code
